IDX,COMMON_PVFF_CROSSOVERS_IDL_REF,NOTES,POPULAR,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20
261,MATERIAL,,AL BRZ,ALUMINUM BRONZE,,,,,,,,,,,,,,,,,,
262,GENERAL,,APD,APPROVED,,,,,,,,,,,,,,,,,,
263,MATERIAL,,BRS,BRASS,,,,,,,,,,,,,,,,,,
264,MAT,,BRZ,BRONZE,BRNZ,,,,,,,,,,,,,,,,,
265,PRESSURE,,CL 150,CL150,CLASS 150,PN 20,20 BAR,,,,,,,,,,,,,,,
266,PRESSURE,,CL 1500,CL1500,CLASS 1500,PN 250,420 BAR,,,,,,,,,,,,,,,
267,PRESSURE,,CL 2500,CL2500,CLASS 2500,PN 420,690 BAR,,,,,,,,,,,,,,,
268,PRESSURE,,CL 300,CL300,CLASS 300,PN 50,50 BAR,,,,,,,,,,,,,,,
269,PRESSURE,,CL 400,CL400,CLASS 400,PN 64,110 BAR,,,,,,,,,,,,,,,
270,PRESSURE,,CL 600,CL600,CLASS 600,PN 100,150 BAR,,,,,,,,,,,,,,,
271,PRESSURE,,CL 900,CL900,CLASS 900,PN 150,250 BAR,,,,,,,,,,,,,,,
272,TYPE,,CONC,CONCENTRIC,,,,,,,,,,,,,,,,,,
273,TYPE/MATERIAL,,CPVC,Chlorinated PVC,,,,,,,,,,,,,,,,,,
274,GENERAL,,CWP,COLD WORKING PRESSURE,,,,,,,,,,,,,,,,,,
275,END CONN,,DBL FLG,DOUBLE FLANGE,,,,,,,,,,,,,,,,,,
276,GENERAL,,DEG,DEGREE,,,,,,,,,,,,,,,,,,
277,GENERAL,,DRL,DOUBLE RANDOM LENGTH,,,,,,,,,,,,,,,,,,
278,GENERAL,,TRL,TRIPLE RANDOM LENGTH,,,,,,,,,,,,,,,,,,
279,TYPE,,DUAL PLT CHK,DUAL PLATE CHECK,,,,,,,,,,,,,,,,,,
280,TYPE,,ECC,ECCENTRIC,,,,,,,,,,,,,,,,,,
281,TYPE,,EFW,Electric Fusion Welded,,,,,,,,,,,,,,,,,,
282,TYPE,,ELL,ELBOW,ELLS,,,,,,,,,,,,,,,,,
283,TYPE,,ERW,Electric Resistance Welded,,,,,,,,,,,,,,,,,,
284,TYPE,,ESD,Emergency Shutdown Valve,,,,,,,,,,,,,,,,,,
285,MATERIAL,,EXT BODY,EXTENDED BODY,,,,,,,,,,,,,,,,,,
286,MATERIAL,,FS,FORGED STEEL,,,,,,,,,,,,,,,,,,
287,TYPE,,FTG,FITTING,,,,,,,,,,,,,,,,,,
288,OPERATOR,,GO,GEAR OPERATOR,GEAR OP,,,,,,,,,,,,,,,,,
289,TYPE,,GV,Gate Valve,,,,,,,,,,,,,,,,,,
290,OPERATOR,,HDL,HANDLE,,,,,,,,,,,,,,,,,,
291,TYPE,,HFW,High-Frequency Welded,,,,,,,,,,,,,,,,,,
